id,company_name,signup_date,plan_tier,geography,industry,acquisition_channel,status,archetype
1,Ultra,2023-04-15,Basic,US,saas_tech,paid_ads,churned,steady_grower
2,Auto,2023-05-16,Basic,EU,financial_services,paid_ads,churned,failed_adoption
3,Global Partners,2023-03-28,Enterprise,EU,marketing_agency,referral,active,seasonal_business
4,Mobile,2023-02-05,Basic,US,saas_tech,organic_search,churned,failed_adoption
5,Super LLC,2023-03-20,Enterprise,EU,ecommerce,paid_ads,active,steady_grower
6,Prime Dynamics,2023-01-01,Basic,EU,saas_tech,referral,active,price_sensitive
7,Digital,2023-05-13,Enterprise,US,other,paid_ads,churned,enterprise_pilot
8,Dynamic,2023-04-02,Pro,US,saas_tech,partner,active,seasonal_business
9,Beta Inc,2023-04-07,Basic,US,healthcare,direct,churned,seasonal_business
10,Prime,2023-05-05,Enterprise,EU,financial_services,direct,churned,enterprise_pilot
11,Agile Dynamics,2023-03-15,Enterprise,US,financial_services,referral,active,enterprise_pilot
12,Quick,2023-06-01,Basic,US,ecommerce,paid_ads,churned,price_sensitive
13,Auto,2023-03-07,Basic,US,saas_tech,referral,churned,price_sensitive
14,Zenith Analytics,2023-01-08,Basic,EU,ecommerce,direct,churned,seasonal_business
15,Ultra Partners,2023-05-21,Enterprise,US,ecommerce,paid_ads,active,price_sensitive
16,Quick Solutions,2023-02-19,Enterprise,US,saas_tech,organic_search,active,seasonal_business
17,Hyper Intelligence,2023-03-03,Basic,EU,saas_tech,referral,churned,enterprise_pilot
18,Web Solutions,2023-04-17,Basic,US,saas_tech,content_marketing,active,price_sensitive
19,Vertex Intelligence,2023-04-13,Basic,US,saas_tech,content_marketing,churned,price_sensitive
20,Data Analytics,2023-01-04,Basic,EU,saas_tech,referral,active,price_sensitive
21,Tech Analytics,2023-01-30,Enterprise,EU,marketing_agency,paid_ads,churned,steady_grower
22,Prime Studio,2023-01-13,Enterprise,EU,saas_tech,organic_search,churned,enterprise_pilot
23,Beta Insights,2023-02-19,Basic,EU,healthcare,organic_search,churned,enterprise_pilot
24,Summit,2023-04-12,Enterprise,US,marketing_agency,referral,active,enterprise_pilot
25,Nova,2023-01-26,Enterprise,EU,financial_services,direct,churned,seasonal_business
26,Digital Partners,2023-01-01,Basic,US,saas_tech,referral,churned,price_sensitive
27,Quantum,2023-01-21,Basic,US,ecommerce,direct,churned,failed_adoption
28,Global Solutions,2023-03-09,Basic,EU,healthcare,organic_search,churned,failed_adoption
29,Rapid Analytics,2023-02-03,Basic,EU,marketing_agency,direct,churned,failed_adoption
30,Elite,2023-01-23,Enterprise,US,marketing_agency,organic_search,active,price_sensitive
31,Mega Hub,2023-06-02,Basic,EU,saas_tech,organic_search,churned,price_sensitive
32,Dynamic,2023-03-06,Basic,EU,saas_tech,paid_ads,churned,failed_adoption
33,Data Ventures,2023-06-08,Enterprise,EU,ecommerce,referral,active,steady_grower
34,Agile Labs,2023-03-13,Enterprise,US,ecommerce,partner,active,price_sensitive
35,Smart Corp,2023-04-11,Enterprise,US,financial_services,referral,active,enterprise_pilot
36,Beta Data,2023-01-26,Enterprise,US,saas_tech,partner,active,seasonal_business
37,Ultra,2023-05-09,Basic,US,manufacturing,organic_search,active,seasonal_business
38,Gamma Intelligence,2023-06-04,Pro,EU,ecommerce,referral,churned,seasonal_business
39,Hyper Systems,2023-04-03,Enterprise,EU,manufacturing,organic_search,churned,seasonal_business
40,Prime Dynamics,2023-06-12,Enterprise,EU,ecommerce,referral,churned,enterprise_pilot
41,Fast,2023-01-19,Enterprise,EU,saas_tech,paid_ads,active,enterprise_pilot
42,Data,2023-04-03,Pro,EU,saas_tech,organic_search,churned,seasonal_business
43,Vertex Analytics,2023-05-12,Enterprise,EU,financial_services,paid_ads,churned,seasonal_business
44,Hyper Services,2023-05-03,Basic,US,financial_services,organic_search,active,failed_adoption
45,Tech Insights,2023-04-12,Enterprise,EU,other,paid_ads,active,enterprise_pilot
46,Swift Labs,2023-03-08,Basic,US,ecommerce,paid_ads,churned,failed_adoption
47,Mega Insights,2023-03-06,Basic,US,manufacturing,paid_ads,churned,failed_adoption
48,Apex Insights,2023-06-27,Basic,EU,financial_services,paid_ads,active,price_sensitive
49,Tech Partners,2023-06-02,Basic,US,financial_services,referral,churned,price_sensitive
50,Tech Group,2023-04-27,Basic,US,saas_tech,partner,churned,seasonal_business
51,Tech Enterprises,2023-03-27,Enterprise,US,healthcare,organic_search,active,steady_grower
52,Dynamic Services,2023-03-18,Enterprise,EU,saas_tech,organic_search,active,steady_grower
53,Summit Technologies,2023-05-08,Basic,EU,manufacturing,referral,churned,price_sensitive
54,Apex Group,2023-05-15,Basic,EU,ecommerce,paid_ads,churned,price_sensitive
55,Prime Partners,2023-04-29,Enterprise,EU,financial_services,organic_search,churned,seasonal_business
56,Agile Analytics,2023-06-28,Enterprise,EU,ecommerce,paid_ads,active,enterprise_pilot
57,Gamma,2023-01-02,Enterprise,US,marketing_agency,partner,active,price_sensitive
58,Prime Innovations,2023-02-17,Enterprise,US,ecommerce,paid_ads,active,steady_grower
59,Rapid Consulting,2023-03-10,Enterprise,US,marketing_agency,paid_ads,churned,price_sensitive
60,Ultra Services,2023-06-07,Enterprise,US,financial_services,direct,active,steady_grower
61,Swift Dynamics,2023-04-22,Enterprise,US,saas_tech,paid_ads,active,steady_grower
62,Super Innovations,2023-05-22,Pro,EU,manufacturing,paid_ads,churned,seasonal_business
63,Web Partners,2023-03-19,Enterprise,US,financial_services,partner,churned,seasonal_business
64,Nova Data,2023-04-29,Enterprise,US,marketing_agency,direct,churned,seasonal_business
65,Cloud Consulting,2023-02-17,Enterprise,EU,ecommerce,paid_ads,active,steady_grower
66,Ultra Hub,2023-03-26,Basic,US,marketing_agency,organic_search,churned,failed_adoption
67,Rapid,2023-06-21,Pro,US,healthcare,paid_ads,active,steady_grower
68,Quantum,2023-06-11,Basic,US,saas_tech,organic_search,active,price_sensitive
69,Web Technologies,2023-05-18,Basic,EU,financial_services,content_marketing,churned,failed_adoption
70,Vertex Studio,2023-03-19,Enterprise,US,ecommerce,partner,active,steady_grower
71,Auto,2023-05-10,Basic,US,other,referral,churned,price_sensitive
72,Fast,2023-01-16,Enterprise,EU,manufacturing,organic_search,active,steady_grower
73,Ultra Works,2023-06-03,Enterprise,US,marketing_agency,organic_search,churned,price_sensitive
74,Fusion,2023-04-21,Enterprise,US,financial_services,partner,active,steady_grower
75,Prime,2023-04-29,Basic,US,financial_services,paid_ads,churned,failed_adoption
76,Dynamic Labs,2023-06-21,Enterprise,US,other,content_marketing,churned,seasonal_business
77,Mega Innovations,2023-01-22,Basic,EU,saas_tech,organic_search,active,price_sensitive
78,Dynamic Services,2023-06-10,Enterprise,US,financial_services,organic_search,churned,enterprise_pilot
79,Web Associates,2023-01-25,Basic,US,manufacturing,partner,churned,price_sensitive
80,Vertex Innovations,2023-04-20,Basic,EU,ecommerce,referral,churned,enterprise_pilot
81,Global Insights,2023-02-14,Enterprise,US,manufacturing,direct,churned,seasonal_business
82,Meta Studio,2023-03-06,Basic,EU,financial_services,referral,active,price_sensitive
83,Apex Corp,2023-02-02,Enterprise,US,ecommerce,direct,active,price_sensitive
84,Nexus,2023-01-19,Enterprise,EU,ecommerce,paid_ads,churned,steady_grower
85,Rapid Analytics,2023-05-09,Enterprise,US,saas_tech,direct,active,enterprise_pilot
86,Auto Data,2023-02-22,Basic,US,financial_services,paid_ads,churned,price_sensitive
87,Smart Data,2023-05-12,Pro,US,other,paid_ads,churned,seasonal_business
88,Summit,2023-05-27,Enterprise,US,manufacturing,organic_search,active,steady_grower
89,Mega Enterprises,2023-06-21,Enterprise,EU,ecommerce,organic_search,active,steady_grower
90,Smart,2023-03-07,Enterprise,EU,marketing_agency,organic_search,churned,price_sensitive
91,Web Analytics,2023-01-11,Basic,EU,ecommerce,content_marketing,churned,failed_adoption
92,Meta Analytics,2023-01-22,Enterprise,US,ecommerce,content_marketing,active,seasonal_business
93,Cyber Inc,2023-05-29,Enterprise,US,saas_tech,paid_ads,churned,seasonal_business
94,Global Labs,2023-02-02,Pro,US,financial_services,direct,churned,seasonal_business
95,Mobile Systems,2023-03-23,Enterprise,US,marketing_agency,organic_search,active,steady_grower
96,Tech Partners,2023-06-06,Basic,US,financial_services,organic_search,active,price_sensitive
97,Quantum,2023-04-22,Basic,EU,saas_tech,organic_search,churned,failed_adoption
98,Super Labs,2023-03-30,Enterprise,US,saas_tech,partner,active,seasonal_business
99,Digital,2023-02-05,Basic,US,financial_services,organic_search,churned,price_sensitive
100,Agile,2023-02-06,Enterprise,US,saas_tech,referral,active,steady_grower
101,Nova,2023-01-18,Enterprise,US,ecommerce,referral,active,enterprise_pilot
102,Meta Studio,2023-04-28,Enterprise,EU,saas_tech,organic_search,churned,enterprise_pilot
103,Digital,2023-01-16,Basic,EU,saas_tech,paid_ads,churned,failed_adoption
104,Tech Analytics,2023-06-19,Pro,US,ecommerce,paid_ads,active,seasonal_business
105,Quick,2023-03-12,Enterprise,US,ecommerce,paid_ads,active,seasonal_business
106,Zenith,2023-05-11,Pro,EU,healthcare,organic_search,active,steady_grower
107,Super Consulting,2023-01-11,Enterprise,US,ecommerce,paid_ads,active,price_sensitive
108,Meta,2023-03-17,Enterprise,US,saas_tech,organic_search,active,enterprise_pilot
109,Mega Hub,2023-06-21,Basic,EU,ecommerce,direct,churned,failed_adoption
110,Beta,2023-02-23,Basic,US,manufacturing,paid_ads,churned,seasonal_business
111,Cyber Services,2023-06-10,Enterprise,US,ecommerce,direct,active,price_sensitive
112,Vertex Systems,2023-06-02,Basic,EU,saas_tech,organic_search,churned,price_sensitive
113,Alpha Enterprises,2023-03-18,Basic,EU,ecommerce,paid_ads,churned,seasonal_business
114,Data Data,2023-05-02,Enterprise,EU,financial_services,paid_ads,active,steady_grower
115,Web,2023-05-09,Pro,US,other,organic_search,churned,seasonal_business
116,Super LLC,2023-06-14,Enterprise,US,other,paid_ads,active,seasonal_business
117,Prime Systems,2023-02-25,Enterprise,US,financial_services,organic_search,active,steady_grower
118,Smart Works,2023-03-11,Basic,EU,saas_tech,paid_ads,churned,price_sensitive
119,Nova,2023-02-12,Basic,EU,financial_services,paid_ads,churned,price_sensitive
120,Cloud Inc,2023-02-15,Enterprise,US,ecommerce,organic_search,churned,steady_grower
121,Dynamic Innovations,2023-05-17,Enterprise,US,marketing_agency,paid_ads,churned,enterprise_pilot
122,Gamma,2023-05-29,Basic,US,healthcare,direct,churned,enterprise_pilot
123,Mobile Insights,2023-01-10,Enterprise,US,ecommerce,direct,churned,price_sensitive
124,Auto Group,2023-01-13,Enterprise,EU,marketing_agency,direct,active,seasonal_business
125,Cloud Systems,2023-06-17,Basic,US,ecommerce,paid_ads,churned,failed_adoption
126,Global Works,2023-02-12,Basic,EU,marketing_agency,organic_search,churned,failed_adoption
127,Tech,2023-05-19,Basic,EU,marketing_agency,paid_ads,active,failed_adoption
128,Cloud,2023-02-05,Basic,EU,healthcare,partner,churned,price_sensitive
129,Tech,2023-06-17,Basic,US,financial_services,organic_search,churned,price_sensitive
130,Digital Services,2023-02-26,Enterprise,US,healthcare,partner,active,steady_grower
131,Dynamic,2023-03-27,Basic,EU,ecommerce,organic_search,churned,failed_adoption
132,Quantum,2023-05-21,Pro,EU,ecommerce,paid_ads,churned,steady_grower
133,Summit,2023-06-28,Basic,EU,ecommerce,organic_search,churned,failed_adoption
134,Beta Labs,2023-03-14,Basic,EU,healthcare,organic_search,active,enterprise_pilot
135,Dynamic Ltd,2023-06-25,Basic,US,other,paid_ads,churned,price_sensitive
136,Delta Enterprises,2023-05-23,Pro,US,other,partner,active,seasonal_business
137,Tech Data,2023-01-27,Basic,US,financial_services,referral,active,price_sensitive
138,Hyper,2023-04-19,Enterprise,US,ecommerce,paid_ads,churned,price_sensitive
139,Tech Intelligence,2023-02-13,Enterprise,US,ecommerce,organic_search,active,seasonal_business
140,Cloud Dynamics,2023-05-17,Enterprise,US,ecommerce,paid_ads,active,steady_grower
141,Acme,2023-04-21,Pro,EU,ecommerce,partner,active,seasonal_business
142,Hyper Inc,2023-02-05,Enterprise,US,ecommerce,direct,churned,steady_grower
143,Summit,2023-01-11,Enterprise,EU,marketing_agency,direct,active,steady_grower
144,Super,2023-03-23,Enterprise,US,ecommerce,organic_search,active,price_sensitive
145,Cloud Group,2023-02-20,Basic,US,saas_tech,paid_ads,churned,failed_adoption
146,Dynamic,2023-04-23,Pro,US,other,direct,active,steady_grower
147,Web Insights,2023-05-26,Enterprise,EU,manufacturing,organic_search,active,steady_grower
148,Zenith Solutions,2023-05-29,Enterprise,US,marketing_agency,organic_search,active,steady_grower
149,Cyber Inc,2023-01-02,Enterprise,EU,marketing_agency,referral,active,seasonal_business
150,Super Ltd,2023-02-17,Enterprise,US,financial_services,paid_ads,active,steady_grower
151,Delta Hub,2023-06-06,Enterprise,EU,manufacturing,paid_ads,active,steady_grower
152,Summit Ventures,2023-04-01,Basic,EU,marketing_agency,direct,churned,failed_adoption
153,Auto Ventures,2023-03-07,Enterprise,US,saas_tech,direct,active,steady_grower
154,Meta Intelligence,2023-05-16,Basic,US,saas_tech,organic_search,churned,steady_grower
155,Digital Insights,2023-06-24,Enterprise,US,other,organic_search,active,steady_grower
156,Zenith Labs,2023-01-26,Enterprise,EU,saas_tech,content_marketing,active,seasonal_business
157,Pioneer,2023-04-17,Basic,US,financial_services,referral,churned,price_sensitive
158,Data,2023-04-19,Enterprise,US,marketing_agency,content_marketing,churned,seasonal_business
159,Delta Studio,2023-04-21,Basic,EU,manufacturing,organic_search,churned,failed_adoption
160,Ultra,2023-04-06,Basic,EU,healthcare,organic_search,active,seasonal_business
161,Super Enterprises,2023-01-27,Enterprise,US,ecommerce,direct,active,price_sensitive
162,Vertex Corp,2023-05-08,Enterprise,US,manufacturing,paid_ads,active,steady_grower
163,Web Corp,2023-05-10,Enterprise,EU,manufacturing,paid_ads,active,steady_grower
164,Mega Enterprises,2023-05-13,Pro,US,financial_services,paid_ads,active,seasonal_business
165,Rapid,2023-06-23,Enterprise,US,marketing_agency,partner,active,seasonal_business
166,Apex Solutions,2023-06-10,Enterprise,EU,ecommerce,organic_search,active,enterprise_pilot
167,Swift Group,2023-01-11,Basic,EU,financial_services,organic_search,churned,price_sensitive
168,Zenith Corp,2023-05-18,Basic,US,saas_tech,referral,churned,price_sensitive
169,Data Ltd,2023-04-30,Enterprise,EU,ecommerce,paid_ads,active,steady_grower
170,Gamma Ventures,2023-06-01,Enterprise,US,saas_tech,partner,churned,seasonal_business
171,Ultra Inc,2023-04-06,Enterprise,US,ecommerce,organic_search,active,price_sensitive
172,Acme,2023-05-05,Enterprise,EU,ecommerce,organic_search,active,steady_grower
173,Super Enterprises,2023-06-24,Enterprise,US,ecommerce,content_marketing,churned,seasonal_business
174,Data Enterprises,2023-01-20,Basic,US,financial_services,referral,churned,price_sensitive
175,Nova Systems,2023-05-31,Basic,EU,healthcare,paid_ads,churned,failed_adoption
176,Tech,2023-04-30,Enterprise,US,ecommerce,organic_search,active,steady_grower
177,Summit Intelligence,2023-02-15,Enterprise,EU,ecommerce,organic_search,active,steady_grower
178,Hyper Associates,2023-04-11,Basic,US,financial_services,partner,churned,failed_adoption
179,Beta Corp,2023-02-25,Enterprise,US,ecommerce,partner,active,seasonal_business
180,Rapid,2023-04-04,Enterprise,US,manufacturing,partner,active,enterprise_pilot
181,Apex,2023-03-18,Enterprise,US,marketing_agency,organic_search,active,seasonal_business
182,Ultra,2023-03-25,Basic,EU,ecommerce,paid_ads,churned,failed_adoption
183,Alpha,2023-03-28,Enterprise,EU,manufacturing,paid_ads,active,steady_grower
184,Summit,2023-06-07,Enterprise,EU,manufacturing,partner,active,steady_grower
185,Dynamic,2023-06-27,Enterprise,US,financial_services,direct,active,enterprise_pilot
186,Hyper Consulting,2023-03-15,Pro,US,other,organic_search,churned,seasonal_business
187,Delta Corp,2023-03-05,Enterprise,EU,ecommerce,referral,active,steady_grower
188,Hyper,2023-02-12,Enterprise,US,manufacturing,organic_search,active,seasonal_business
189,Auto Data,2023-03-08,Enterprise,EU,marketing_agency,organic_search,churned,price_sensitive
190,Rapid,2023-03-25,Basic,EU,financial_services,paid_ads,churned,failed_adoption
191,Swift Ventures,2023-05-07,Enterprise,US,ecommerce,direct,active,steady_grower
192,Tech,2023-01-19,Enterprise,US,marketing_agency,organic_search,churned,steady_grower
193,Beta Corp,2023-01-25,Enterprise,US,financial_services,paid_ads,active,steady_grower
194,Beta,2023-03-03,Pro,US,ecommerce,referral,churned,seasonal_business
195,Alpha Ltd,2023-03-19,Basic,US,financial_services,direct,churned,failed_adoption
196,Mobile Intelligence,2023-06-12,Pro,US,ecommerce,partner,churned,seasonal_business
197,Nova Corp,2023-05-17,Basic,EU,saas_tech,organic_search,active,price_sensitive
198,Auto Solutions,2023-05-18,Enterprise,US,manufacturing,direct,active,steady_grower
199,Super Analytics,2023-03-29,Enterprise,EU,ecommerce,paid_ads,active,steady_grower
200,Swift Associates,2023-02-06,Basic,US,financial_services,organic_search,active,price_sensitive
201,Delta Solutions,2023-01-10,Basic,US,saas_tech,referral,churned,failed_adoption
202,Digital LLC,2023-05-23,Enterprise,US,ecommerce,organic_search,churned,seasonal_business
203,Delta Systems,2023-06-01,Basic,EU,ecommerce,paid_ads,churned,failed_adoption
204,Digital,2023-04-02,Enterprise,EU,financial_services,partner,active,enterprise_pilot
205,Prime Works,2023-01-21,Enterprise,US,saas_tech,content_marketing,active,steady_grower
206,Mega Insights,2023-05-22,Pro,US,healthcare,paid_ads,active,steady_grower
207,Smart Solutions,2023-06-16,Basic,EU,healthcare,content_marketing,churned,steady_grower
208,Auto Partners,2023-05-05,Pro,US,financial_services,paid_ads,active,seasonal_business
209,Alpha Technologies,2023-04-29,Basic,EU,saas_tech,content_marketing,churned,enterprise_pilot
210,Zenith,2023-01-19,Basic,EU,ecommerce,paid_ads,churned,failed_adoption
211,Digital Solutions,2023-03-17,Basic,US,manufacturing,referral,churned,price_sensitive
212,Nova,2023-06-02,Enterprise,US,saas_tech,partner,active,steady_grower
213,Elite Intelligence,2023-02-06,Basic,EU,financial_services,referral,churned,steady_grower
214,Apex,2023-03-02,Pro,US,ecommerce,referral,churned,seasonal_business
215,Dynamic,2023-01-07,Enterprise,EU,ecommerce,organic_search,active,steady_grower
216,Digital,2023-04-17,Basic,EU,healthcare,organic_search,active,seasonal_business
217,Nova Innovations,2023-01-02,Basic,US,other,direct,churned,price_sensitive
218,Beta Analytics,2023-01-17,Enterprise,EU,marketing_agency,direct,churned,seasonal_business
219,Delta,2023-05-21,Basic,US,saas_tech,referral,active,price_sensitive
220,Fast,2023-05-29,Basic,EU,saas_tech,referral,active,price_sensitive
221,Summit Corp,2023-04-07,Enterprise,US,ecommerce,paid_ads,active,enterprise_pilot
222,Nexus,2023-01-31,Enterprise,US,manufacturing,organic_search,churned,enterprise_pilot
223,Ultra Systems,2023-01-29,Enterprise,EU,ecommerce,direct,active,steady_grower
224,Mobile Consulting,2023-01-08,Basic,US,financial_services,paid_ads,active,price_sensitive
225,Agile Insights,2023-04-18,Enterprise,US,manufacturing,referral,churned,enterprise_pilot
226,Swift LLC,2023-05-15,Basic,EU,healthcare,partner,churned,enterprise_pilot
227,Smart,2023-06-13,Enterprise,EU,saas_tech,organic_search,active,seasonal_business
228,Prime Works,2023-04-03,Basic,EU,ecommerce,partner,churned,price_sensitive
229,Meta Corp,2023-03-04,Enterprise,US,ecommerce,content_marketing,active,steady_grower
230,Swift Associates,2023-06-29,Basic,US,saas_tech,organic_search,active,price_sensitive
231,Rapid,2023-04-14,Enterprise,US,saas_tech,paid_ads,active,enterprise_pilot
232,Digital Solutions,2023-01-19,Enterprise,EU,marketing_agency,direct,churned,steady_grower
233,Elite Solutions,2023-02-07,Enterprise,EU,manufacturing,referral,active,seasonal_business
234,Hyper,2023-04-23,Basic,EU,saas_tech,direct,churned,failed_adoption
235,Swift,2023-01-09,Enterprise,EU,financial_services,partner,churned,steady_grower
236,Swift Ltd,2023-04-23,Enterprise,US,ecommerce,partner,churned,price_sensitive
237,Zenith Studio,2023-01-23,Enterprise,US,financial_services,partner,active,seasonal_business
238,Web Solutions,2023-02-13,Basic,US,financial_services,direct,active,price_sensitive
239,Gamma Associates,2023-03-27,Enterprise,US,ecommerce,organic_search,churned,enterprise_pilot
240,Meta Systems,2023-06-25,Enterprise,EU,manufacturing,partner,churned,enterprise_pilot
241,Cloud Works,2023-04-01,Enterprise,US,ecommerce,paid_ads,churned,enterprise_pilot
242,Fast Technologies,2023-06-17,Enterprise,US,ecommerce,paid_ads,active,steady_grower
243,Alpha,2023-01-07,Enterprise,US,financial_services,organic_search,active,steady_grower
244,Tech,2023-01-06,Basic,US,healthcare,paid_ads,churned,failed_adoption
245,Cyber LLC,2023-05-08,Basic,US,financial_services,partner,churned,seasonal_business
246,Nova Dynamics,2023-01-03,Enterprise,EU,marketing_agency,content_marketing,active,seasonal_business
247,Vertex,2023-01-02,Pro,EU,marketing_agency,paid_ads,churned,seasonal_business
248,Rapid Labs,2023-01-20,Enterprise,US,ecommerce,organic_search,churned,enterprise_pilot
249,Cloud Studio,2023-01-15,Enterprise,US,other,paid_ads,churned,seasonal_business
